Disease,Description
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
Accident Cerebrovascular,"Cerebrovascular accident, commonly known as a stroke, occurs when the blood supply to part of your brain is interrupted or reduced, preventing brain tissue from getting oxygen and nutrients."
Acquired Immuno-Deficiency Syndrome,"AIDS is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
Adenocarcinoma,"Adenocarcinoma is a type of cancer that forms in the glandular tissue, which lines certain internal organs and makes and releases substances in the body, such as mucus, digestive juices, or other fluids."
Adhesion,Adhesions are bands of scar-like tissue that form between two surfaces inside the body and make them stick together.
Affect Labile,"Affective lability, or emotional incontinence, is a condition characterized by involuntary, uncontrollable, and frequent outbursts of crying or laughing that are exaggerated or contrary to the person's emotional state."
Alzheimer'S Disease,Alzheimer's disease is a progressive disorder that causes brain cells to waste away (degenerate) and die. It is the most common cause of dementia.
Anemia,Anemia is a condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues.
Anxiety State,"Anxiety is a feeling of fear, dread, and uneasiness. It might cause you to sweat, feel restless and tense, and have a rapid heartbeat."
Aphasia,"Aphasia is a condition that robs you of the ability to communicate. It can affect your ability to speak, write and understand language, both spoken and written."
Asthma,"Asthma is a condition in which your airways narrow and swell and may produce extra mucus. This can make breathing difficult and trigger coughing, a whistling sound (wheezing) when you breathe out and shortness of breath."
Bacteremia,"Bacteremia is the presence of bacteria in the bloodstream. It can occur spontaneously, during certain tissue infections, with use of indwelling genitourinary catheters, or after dental procedures."
Benign Prostatic Hypertrophy,Benign prostatic hyperplasia (BPH) — also called prostate gland enlargement — is a common condition as men get older.
Biliary Calculus,Gallstones (biliary calculi) are hardened deposits of digestive fluid that can form in your gallbladder.
Bipolar Disorder,"Bipolar disorder, formerly called manic depression, is a mental health condition that causes extreme mood swings that include emotional highs (mania or hypomania) and lows (depression)."
Bronchitis,"Bronchitis is an inflammation of the lining of your bronchial tubes, which carry air to and from your lungs."
Candidiasis,Candidiasis is a fungal infection caused by a yeast (a type of fungus) called Candida.
Carcinoma,Carcinoma is a type of cancer that starts in cells that make up the skin or the tissue lining organs.
Carcinoma Breast,Breast cancer is cancer that forms in the cells of the breasts.
Carcinoma Colon,Colon cancer is a type of cancer that begins in the large intestine (colon).
Carcinoma Of Lung,Lung cancer is a type of cancer that begins in the lungs.
Carcinoma Prostate,Prostate cancer is cancer that occurs in the prostate.
Cardiomyopathy,Cardiomyopathy is a disease of the heart muscle that makes it harder for your heart to pump blood to the rest of your body.
Cellulitis,"Cellulitis is a common, potentially serious bacterial skin infection."
Cholecystitis,Cholecystitis is inflammation of the gallbladder.
Cholelithiasis,"Cholelithiasis involves the presence of gallstones which are concretions that form in the biliary tract, usually in the gallbladder."
Chronic Alcoholic Intoxication,"Chronic alcohol intoxication refers to the harmful physical and mental changes that occur due to long-term, excessive alcohol consumption."
Chronic Kidney Failure,"Chronic kidney disease, also called chronic kidney failure, describes the gradual loss of kidney function."
Chronic Obstructive Airway Disease,Chronic obstructive pulmonary disease (COPD) is a chronic inflammatory lung disease that causes obstructed airflow from the lungs.
Cirrhosis,"Cirrhosis is a late stage of scarring (fibrosis) of the liver caused by many forms of liver diseases and conditions, such as hepatitis and chronic alcoholism."
Colitis,Colitis is a chronic digestive disease characterized by inflammation of the inner lining of the colon.
Confusion,Confusion is a symptom that makes you feel as if you can't think clearly. You might feel disoriented and have a hard time focusing or making decisions.
Coronary Arteriosclerosis,Coronary artery disease is caused by plaque buildup in the wall of the arteries that supply blood to the heart.
Coronary Heart Disease,Coronary heart disease is a condition in which the blood supply to the heart is blocked or interrupted by a build-up of fatty substances in the coronary arteries.
Decubitus Ulcer,Bedsores — also called pressure ulcers and decubitus ulcers — are injuries to skin and underlying tissue resulting from prolonged pressure on the skin.
Deep Vein Thrombosis,"Deep vein thrombosis (DVT) occurs when a blood clot (thrombus) forms in one or more of the deep veins in your body, usually in your legs."
Degenerative Polyarthritis,Polyarthritis is defined as arthritis that affects five or more joints simultaneously. It is often associated with autoimmune conditions.
Deglutition Disorder,"Dysphagia is the medical term for swallowing difficulties. Some people with dysphagia have problems swallowing distinct foods or liquids, while others can't swallow at all."
Dehydration,"Dehydration occurs when you use or lose more fluid than you take in, and your body doesn't have enough water and other fluids to carry out its normal functions."
Delirium,Delirium is a serious disturbance in mental abilities that results in confused thinking and reduced awareness of the environment.
Delusion,Delusions are fixed beliefs that are not amenable to change in light of conflicting evidence.
Dementia,"Dementia is a general term for loss of memory, language, problem-solving and other thinking abilities that are severe enough to interfere with daily life."
Dependence,Dependence is a state in which an organism functions normally only in the presence of a drug.
Depression Mental,Depression is a mood disorder that causes a persistent feeling of sadness and loss of interest.
Depressive Disorder,"Major depressive disorder is a mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life."
Diverticulitis,Diverticulitis is the infection or inflammation of pouches that can form in your intestines.
Diverticulosis,"Diverticulosis occurs when small, bulging pouches (diverticula) develop in your digestive tract."
Edema Pulmonary,Pulmonary edema is a condition caused by excess fluid in the lungs.
Effusion Pericardial,"Pericardial effusion is the buildup of too much fluid in the double-layered, saclike structure around the heart (pericardium)."
Embolism Pulmonary,Pulmonary embolism is a blockage in one of the pulmonary arteries in your lungs.
Emphysema Pulmonary,"Emphysema is a lung condition that causes shortness of breath. In people with emphysema, the air sacs in the lungs (alveoli) are damaged."
Encephalopathy,Encephalopathy is a general term describing a disease that affects the function or structure of your brain.
Endocarditis,"Endocarditis is an infection of the endocardium, the inner lining of your heart chambers and valves."
Epilepsy,"Epilepsy is a central nervous system (neurological) disorder in which brain activity becomes abnormal, causing seizures or periods of unusual behavior, sensations, and sometimes loss of awareness."
Exanthema,Exanthema is a skin rash accompanying a disease or fever.
Failure Heart,Heart failure means that the heart is unable to pump blood around the body properly.
Failure Heart Congestive,Congestive heart failure is a chronic progressive condition that affects the pumping power of your heart muscles.
Failure Kidney,Kidney failure occurs when your kidneys lose the ability to filter waste from your blood sufficiently.
Fibroid Tumor,Uterine fibroids are noncancerous growths of the uterus that often appear during childbearing years.
Gastritis,Gastritis is a general term for a group of conditions with one thing in common: inflammation of the lining of the stomach.
Gastroesophageal Reflux Disease,Gastroesophageal reflux disease (GERD) occurs when stomach acid frequently flows back into the tube connecting your mouth and stomach (esophagus).
Glaucoma,"Glaucoma is a group of eye conditions that damage the optic nerve, the health of which is vital for good vision."
Gout,"Gout is a common and complex form of arthritis that can affect anyone. It's characterized by sudden, severe attacks of pain, swelling, redness and tenderness in one or more joints, often in the big toe."
Hemiparesis,Hemiparesis is weakness of one entire side of the body.
Hemorrhoids,"Hemorrhoids are swollen veins in your anus and lower rectum, similar to varicose veins."
Hepatitis,Hepatitis is an inflammation of the liver.
Hernia,A hernia occurs when an organ pushes through an opening in the muscle or tissue that holds it in place.
Hernia Hiatal,A hiatal hernia occurs when the upper part of your stomach bulges through the large muscle separating your abdomen and chest (diaphragm).
Hiv,HIV (human immunodeficiency virus) is a virus that attacks the body's immune system.
Hiv Infections,"HIV infections are caused by the human immunodeficiency virus, which destroys the immune system."
Hyperbilirubinemia,Hyperbilirubinemia is a condition in which there is too much bilirubin in the blood.
Hypercholesterolemia,High cholesterol is when you have too much of a fatty substance called cholesterol in your blood.
Hyperglycemia,"Hyperglycemia refers to high levels of sugar, or glucose, in the blood."
Hyperlipidemia,"Hyperlipidemia means your blood has too many lipids (or fats), such as cholesterol and triglycerides."
Hypertension Pulmonary,Pulmonary hypertension is a type of high blood pressure that affects the arteries in your lungs and the right side of your heart.
Hypertensive Disease,"Hypertension, also known as high blood pressure, is a long-term medical condition in which the blood pressure in the arteries is persistently elevated."
Ileus,Ileus is a temporary lack of the normal muscle contractions of the intestines.
Incontinence,Urinary incontinence — the loss of bladder control — is a common and often embarrassing problem.
Infection,An infection occurs when another organism enters your body and causes disease.
Infection Urinary Tract,"A urinary tract infection (UTI) is an infection in any part of your urinary system — your kidneys, ureters, bladder and urethra."
Influenza,"Influenza (Flu) is a viral infection that attacks your respiratory system — your nose, throat and lungs."
Insufficiency Renal,Renal insufficiency is a condition where the kidneys function poorly.
Ischemia,"Ischemia is a restriction in blood supply to tissues, causing a shortage of oxygen that is needed for cellular metabolism."
Ketoacidosis Diabetic,Diabetic ketoacidosis is a serious complication of diabetes that occurs when your body produces high levels of blood acids called ketones.
Kidney Disease,Kidney disease means your kidneys are damaged and can't filter blood the way they should.
Kidney Failure Acute,Acute kidney failure occurs when your kidneys suddenly become unable to filter waste products from your blood.
Lymphatic Diseases,Lymphatic disease is a class of disorders that directly affect the components of the lymphatic system.
Lymphoma,"Lymphoma is a cancer of the lymphatic system, which is part of the body's germ-fighting network."
Malignant Neoplasm Of Breast,Cancer of the breast.
Malignant Neoplasm Of Lung,Cancer of the lung.
Malignant Neoplasm Of Prostate,Cancer of the prostate.
Malignant Neoplasms,Malignant neoplasms are cancerous tumors that can spread to other parts of the body.
Malignant Tumor Of Colon,Cancer of the colon.
Manic Disorder,"Mania is a condition in which you have a period of abnormally elevated, extreme changes in your mood or emotions, energy level or activity level."
Melanoma,"Melanoma, the most serious type of skin cancer, develops in the cells (melanocytes) that produce melanin."
Migraine Disorders,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head."
Mitral Valve Insufficiency,"Mitral valve regurgitation is a condition in which your heart's mitral valve doesn't close tightly, allowing blood to flow backward in your heart."
Myocardial Infarction,"A heart attack, or myocardial infarction, occurs when the flow of blood to the heart is blocked."
Neoplasm,A neoplasm is an abnormal mass of tissue that results when cells divide more than they should or do not die when they should.
Neoplasm Metastasis,"Metastasis is the spread of cancer cells to new areas of the body, often by way of the lymph system or bloodstream."
Neuropathy,"Neuropathy is damage or dysfunction of one or more nerves that typically results in numbness, tingling, muscle weakness and pain in the affected area."
Neutropenia,Neutropenia is an abnormally low concentration of neutrophils (a type of white blood cell) in the blood.
Obesity,Obesity is a complex disease involving an excessive amount of body fat.
Obesity Morbid,Morbid obesity is a medical condition in which excess body fat has accumulated to the extent that it may have an adverse effect on health.
Oral Candidiasis,Oral thrush is a non-contagious fungal infection of the mouth.
Osteomyelitis,Osteomyelitis is an infection in a bone.
Osteoporosis,"Osteoporosis is a bone disease that occurs when the body loses too much bone, makes too little bone, or both."
Overload Fluid,"Hypervolemia, also known as fluid overload, is a condition where there is too much fluid in the blood."
Pancreatitis,Pancreatitis is inflammation of the pancreas.
Pancytopenia,"Pancytopenia is a condition that occurs when a person has low counts for all three types of blood cells: red blood cells, white blood cells, and platelets."
Paranoia,Paranoia is an instinct and thought process occurring sensation of being under threat.
Parkinson Disease,Parkinson's disease is a progressive nervous system disorder that affects movement.
Paroxysmal Dyspnea,"Paroxysmal nocturnal dyspnea (PND) is a sensation of shortness of breath that awakens the patient, often after 1 or 2 hours of sleep, and is usually relieved in the upright position."
Pericardial Effusion Body Substance,Pericardial effusion is the accumulation of fluid in the pericardial cavity.
Peripheral Vascular Disease,"Peripheral vascular disease (PVD) is a blood circulation disorder that causes the blood vessels outside of your heart and brain to narrow, block, or spasm."
Personality Disorder,"A personality disorder is a type of mental disorder in which you have a rigid and unhealthy pattern of thinking, functioning and behaving."
Pneumocystis Carinii Pneumonia,Pneumocystis pneumonia (PCP) is a serious infection caused by the fungus Pneumocystis jirovecii.
Pneumonia Aspiration,Aspiration pneumonia is a type of lung infection that is caused by inhaling oral or gastric contents into the lungs.
Pneumothorax,A pneumothorax is a collapsed lung.
Primary Carcinoma Of The Liver Cells,Hepatocellular carcinoma (HCC) is the most common type of primary liver cancer.
Primary Malignant Neoplasm,A primary neoplasm is a tumor that grows at the anatomical site where tumor progression began and proceeded to yield a cancerous mass.
Psychotic Disorder,Psychotic disorders are severe mental disorders that cause abnormal thinking and perceptions.
Pyelonephritis,Pyelonephritis is a type of urinary tract infection where one or both kidneys become infected.
Respiratory Failure,Respiratory failure is a condition in which your blood doesn't have enough oxygen or has too much carbon dioxide.
Schizophrenia,Schizophrenia is a serious mental disorder in which people interpret reality abnormally.
Sepsis (Invertebrate),Sepsis is an extreme immune response to an infection.
Septicemia,Septicemia is a serious bloodstream infection.
Sickle Cell Anemia,Sickle cell anemia is an inherited red blood cell disorder in which there aren't enough healthy red blood cells to carry oxygen throughout your body.
Spasm Bronchial,Bronchospasm is a tightening of the muscles that line the airways (bronchi) in your lungs.
Stenosis Aortic Valve,Aortic valve stenosis — or aortic stenosis — occurs when the heart's aortic valve narrows.
Suicide Attempt,"A suicide attempt is a non-fatal, self-directed, potentially injurious behavior with the intent to die."
Systemic Infection,A systemic infection is an infection that affects the entire body.
Tachycardia Sinus,Sinus tachycardia is a fast but normal heart rate.
Thrombocytopaenia,Thrombocytopenia is a condition in which you have a low blood platelet count.
Thrombus,A thrombus is a blood clot that forms in a vessel and remains there.
Tonic-Clonic Epilepsy,A tonic-clonic seizure involving a loss of consciousness and violent muscle contractions.
Tonic-Clonic Seizures,Tonic-clonic seizures are the type of seizure most people think of when they hear the word 'seizure'.
Transient Ischemic Attack,"A transient ischemic attack (TIA) is like a stroke, producing similar symptoms, but usually lasting only a few minutes and causing no permanent damage."
Tricuspid Valve Insufficiency,Tricuspid valve regurgitation is a condition in which the valve between the two right heart chambers simply does not close properly.
Ulcer Peptic,Peptic ulcers are open sores that develop on the inside lining of your stomach and the upper portion of your small intestine.
Upper Respiratory Infection,An upper respiratory infection (URI) is a contagious infection of your upper respiratory tract.
